airfoil iteration 
0.177579 -0.053791
0.159492 -0.054602
0.142201 -0.055211
0.125745 -0.055590
0.110163 -0.055700
0.095492 -0.055518
0.081765 -0.055024
0.069015 -0.054195
0.057272 -0.053001
0.046563 -0.051395
0.036913 -0.049382
0.028344 -0.046882
0.020877 -0.043599
0.014529 -0.039268
0.009315 -0.033426
0.005247 -0.024890
0.002334 -0.016478
0.000584 -0.008184
0.000000 0.000000
0.000584 -0.000214
0.002334 -0.000748
0.005247 -0.001625
0.009315 -0.001074
0.014529 0.001210
0.020877 0.004552
0.028344 0.008455
0.036913 0.012857
0.046563 0.017596
0.057272 0.022430
0.069015 0.027346
0.081765 0.032310
0.095492 0.037230
0.110163 0.042047
0.125745 0.046741
0.142201 0.051262
0.159492 0.055528
0.177579 0.059523
